Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-01-04,6000,6110,5660,6110,4591.915527,74195000,,
2000-01-05,5800,6060,5520,5580,4193.600586,74680000,,
2000-01-06,5750,5780,5580,5620,4223.660156,54390000,,
2000-01-07,5560,5670,5360,5540,4163.535645,40305000,4336.39209,
2000-01-10,5600,5770,5580,5770,4336.39209,46880000,4193.598796,
2000-01-11,5820,6100,5770,5770,4336.39209,59745000,4241.195964,4301.820801
2000-01-12,5610,5740,5600,5720,4298.813965,29220000,4278.773275,4250.716113
2000-01-13,5600,5740,5560,5710,4291.299805,41190000,4323.866048,4271.758789
2000-01-14,5720,5880,5680,5830,4381.48291,49375000,4308.835287,4285.286719
2000-01-17,6000,6180,5920,6100,4584.400391,63505000,4323.86556,4328.876172
2000-01-18,6160,6160,5980,6100,4584.400391,45260000,4419.061035,4378.477832
2000-01-19,6000,6040,5960,5960,4479.182617,40205000,4516.761231,4428.079492
2000-01-20,5860,6040,5820,6040,4539.307617,37315000,4549.3278,4464.153223
2000-01-21,5950,5980,5880,5880,4419.062012,32535000,4534.296875,4513.754785
2000-01-24,5800,5900,5700,5700,4283.783691,34355000,4479.184082,4521.270606
2000-01-25,5520,5640,5440,5440,4088.382813,44250000,4414.051107,4461.147266
2000-01-26,5500,5520,5410,5480,4118.443848,29285000,4263.742839,4361.94375
2000-01-27,5480,5620,5430,5520,4148.506836,27900000,4163.536784,4289.795996
2000-01-28,5640,5880,5540,5820,4373.96875,38315000,4118.444499,4211.63584
2000-01-31,5640,5730,5560,5580,4193.600586,39630000,4213.639811,4202.617188
2000-02-01,5600,5680,5260,5320,3998.19873,71470000,4238.692057,4184.580567
2000-02-02,5220,5370,5110,5250,3945.590576,64105000,4188.589355,4166.54375
2000-02-03,5250,5460,4970,5130,3855.405762,142765000,4045.796631,4131.973096
2000-02-04,5130,5130,5130,5130,3855.405762,0,3933.065023,4073.352881
2000-02-07,5140,5330,5040,5240,3938.074951,64140000,3885.467367,3969.640283
2000-02-08,5340,5480,5310,5430,4080.868164,58460000,3882.962158,3918.535156
2000-02-09,5560,5720,5480,5720,4298.813965,51050000,3958.116292,3935.069043
2000-02-10,5660,5880,5600,5760,4328.875488,61845000,4105.919027,4005.713721
2000-02-11,5960,5960,5680,5700,4283.783691,34660000,4236.185872,4100.407666
2000-02-14,5600,5660,5340,5380,4043.290771,44140000,4303.824381,4186.083252
2000-02-15,5380,5420,5140,5200,3908.01416,38315000,4218.649983,4207.126416
